"","X1","X2","X3","X4","X5","X6","X7","X8","X9","Team"
"1","Kickers - Season Projections","Kickers - Season Projections","Kickers - Season Projections","Kickers - Season Projections","Kickers - Season Projections","Kickers - Season Projections","Kickers - Season Projections","Kickers - Season Projections","Kickers - Season Projections",NA
"2","Player","FG","FGA","FGLg","XP","XPAtt","XPB","FPTS",NA,NA
"3","Stephen Gostkowski, NE","35.6","40.2","0","46","46","0","152",NA,NA
"4","Greg Zuerlein, LAR","34.7","37.1","0","43.1","43.1","0","147",NA,NA
"5","Harrison Butker, KC","34.8","39.4","0","42.3","42.3","0","146",NA,NA
"6","Robbie Gould, SF","35.6","37.3","0","38.2","38.2","0","145",NA,NA
"7","Chris Boswell, PIT","32.1","35.2","0","41.2","41.2","0","137",NA,NA
"8","Jake Elliott, PHI","31.4","36.1","0","42.4","42.4","0","136",NA,NA
"9","Justin Tucker, BAL","31.9","34.2","0","39.4","39.4","0","135",NA,NA
"10","Matt Bryant, ATL","32.2","36","0","38.1","38.1","0","134",NA,NA
"11","Wil Lutz, NO","29.6","35.1","0","44","44","0","132",NA,NA
"12","Adam Vinatieri, IND","30","35","0","38.3","38.3","0","128",NA,NA
"13","Daniel Carlson, MIN","29.9","35.8","0","36.6","36.6","0","126",NA,NA
"14","Graham Gano, CAR","28.8","31.8","0","37.4","37.4","0","123",NA,NA
"15","Matt Prater, DET","28.7","33.4","0","37.3","37.3","0","123",NA,NA
"16","Josh Lambo, JAC","27.8","30.4","0","37.1","37.1","0","120",NA,NA
"17","Ryan Succop, TEN","27.9","32.8","0","35.4","35.4","0","119",NA,NA
"18","Ka'imi Fairbairn, HOU","26.8","33.5","0","36.6","36.6","0","117",NA,NA
"19","Brett Maher, DAL","25.7","30.8","0","39.5","39.5","0","116",NA,NA
"20","Brandon McManus, DEN","26.9","34.7","0","33.6","33.6","0","114",NA,NA
"21","Phil Dawson, ARI","27.5","34","0","31.7","31.7","0","114",NA,NA
"22","Mason Crosby, GB","22.2","27.3","0","43.6","43.6","0","110",NA,NA
"23","Dustin Hopkins, WAS","24.6","30.1","0","35.4","35.4","0","109",NA,NA
"24","Sebastian Janikowski, SEA","23.7","28.6","0","35.4","35.4","0","106",NA,NA
"25","Caleb Sturgis, LAC","22.8","25.9","0","36.3","36.3","0","104",NA,NA
"26","Mike Nugent, OAK","22.7","27.6","0","35.1","35.1","0","103",NA,NA
"27","Chandler Catanzaro, TB","22.7","28","0","29.9","29.9","0","98",NA,NA
"28","Aldrick Rosas, NYG","21.1","29.3","0","30.5","30.5","0","93",NA,NA
"29","Jason Sanders, MIA","21.2","25.4","0","29.9","29.9","0","93",NA,NA
"30","Zane Gonzalez, CLE","20","26.6","0","32.9","32.9","0","92",NA,NA
"31","Stephen Hauschka, BUF","21.6","24.4","0","25.6","25.6","0","90",NA,NA
"32","Randy Bullock, CIN","19.1","21.3","0","28.3","28.3","0","85",NA,NA
"33","Cody Parkey, CHI","18.1","20.5","0","29.4","29.4","0","83",NA,NA
"34","Jason Myers, NYJ","8.4","11.1","0","14.7","14.7","0","39",NA,NA
"35","Dan Bailey, MIN","2.1","2.7","0","14.1","14.1","0","20",NA,NA
